sorgente giorno mese ngiorno ora fuso anno cnt
Sorgente1 Wed Jan 02 13:30:00 CET 2019 45
Sorgente1 Wed Jan 02 14:00:00 CET 2019 47
Sorgente1 Wed Jan 02 14:30:00 CET 2019 48
Sorgente1 Wed Jan 02 15:00:00 CET 2019 49
Sorgente1 Wed Jan 02 15:30:00 CET 2019 48
Sorgente1 Wed Jan 02 16:00:00 CET 2019 46
Sorgente1 Wed Jan 02 16:30:00 CET 2019 38
Sorgente1 Wed Jan 02 17:00:00 CET 2019 33
Sorgente1 Wed Jan 02 17:30:00 CET 2019 32
Sorgente1 Wed Jan 02 18:00:00 CET 2019 27
Sorgente1 Wed Jan 02 18:30:00 CET 2019 25
Sorgente1 Wed Jan 02 19:00:00 CET 2019 19
Sorgente1 Wed Jan 02 19:30:00 CET 2019 14
Sorgente1 Wed Jan 02 20:00:00 CET 2019 10
Sorgente1 Wed Jan 02 20:30:00 CET 2019 8
Sorgente1 Wed Jan 02 21:00:00 CET 2019 6
Sorgente1 Wed Jan 02 21:30:00 CET 2019 5
Sorgente1 Wed Jan 02 22:00:00 CET 2019 5
Sorgente1 Wed Jan 02 22:30:00 CET 2019 4
Sorgente1 Wed Jan 02 23:00:00 CET 2019 4
Sorgente1 Wed Jan 02 23:30:00 CET 2019 4
Sorgente1 Thu Jan 03 00:00:00 CET 2019 4
Sorgente1 Thu Jan 03 00:30:00 CET 2019 4
Sorgente1 Thu Jan 03 01:00:00 CET 2019 3
Sorgente1 Thu Jan 03 01:30:00 CET 2019 3
Sorgente1 Thu Jan 03 02:00:00 CET 2019 3
Sorgente1 Thu Jan 03 02:30:00 CET 2019 3
Sorgente1 Thu Jan 03 03:00:00 CET 2019 3
Sorgente1 Thu Jan 03 03:30:00 CET 2019 3
Sorgente1 Thu Jan 03 04:00:00 CET 2019 3
Sorgente1 Thu Jan 03 04:30:00 CET 2019 4
Sorgente1 Thu Jan 03 05:00:00 CET 2019 5
Sorgente1 Thu Jan 03 05:30:00 CET 2019 5
Sorgente1 Thu Jan 03 06:00:00 CET 2019 8
Sorgente1 Thu Jan 03 06:30:00 CET 2019 11
Sorgente1 Thu Jan 03 07:00:00 CET 2019 14
Sorgente1 Thu Jan 03 07:30:00 CET 2019 18
Sorgente1 Thu Jan 03 08:00:00 CET 2019 26
Sorgente1 Thu Jan 03 08:30:00 CET 2019 32
Sorgente1 Thu Jan 03 09:00:00 CET 2019 36
Sorgente1 Thu Jan 03 09:30:00 CET 2019 43
Sorgente1 Thu Jan 03 10:00:00 CET 2019 44
Sorgente1 Thu Jan 03 10:30:00 CET 2019 46
Sorgente1 Thu Jan 03 11:00:00 CET 2019 46
Sorgente1 Thu Jan 03 11:30:00 CET 2019 46
Sorgente1 Thu Jan 03 12:00:00 CET 2019 47
Sorgente1 Thu Jan 03 12:30:00 CET 2019 46
Sorgente1 Thu Jan 03 13:00:00 CET 2019 44
Sorgente1 Thu Jan 03 13:30:00 CET 2019 45
Sorgente1 Thu Jan 03 14:00:00 CET 2019 47
Sorgente1 Thu Jan 03 14:30:00 CET 2019 48
Sorgente1 Thu Jan 03 15:00:00 CET 2019 49
Sorgente1 Thu Jan 03 15:30:00 CET 2019 48
Sorgente1 Thu Jan 03 16:00:00 CET 2019 46
Sorgente1 Thu Jan 03 16:30:00 CET 2019 38
Sorgente1 Thu Jan 03 17:00:00 CET 2019 33
Sorgente1 Thu Jan 03 17:30:00 CET 2019 32
Sorgente1 Thu Jan 03 18:00:00 CET 2019 27
Sorgente1 Thu Jan 03 18:30:00 CET 2019 25
Sorgente1 Thu Jan 03 19:00:00 CET 2019 19
Sorgente1 Thu Jan 03 19:30:00 CET 2019 14
Sorgente1 Thu Jan 03 20:00:00 CET 2019 10
Sorgente1 Thu Jan 03 20:30:00 CET 2019 8
Sorgente1 Thu Jan 03 21:00:00 CET 2019 6
Sorgente1 Thu Jan 03 21:30:00 CET 2019 5
Sorgente1 Thu Jan 03 22:00:00 CET 2019 5
Sorgente1 Thu Jan 03 22:30:00 CET 2019 4
Sorgente1 Thu Jan 03 23:00:00 CET 2019 4
Sorgente1 Thu Jan 03 23:30:00 CET 2019 4
Sorgente1 Fri Jan 04 00:00:00 CET 2019 4
Sorgente1 Fri Jan 04 00:30:00 CET 2019 4
Sorgente1 Fri Jan 04 01:00:00 CET 2019 3
Sorgente1 Fri Jan 04 01:30:00 CET 2019 3
Sorgente1 Fri Jan 04 02:00:00 CET 2019 3
Sorgente1 Fri Jan 04 02:30:00 CET 2019 3
Sorgente1 Fri Jan 04 03:00:00 CET 2019 3
Sorgente1 Fri Jan 04 03:30:00 CET 2019 3
Sorgente1 Fri Jan 04 04:00:00 CET 2019 3
Sorgente1 Fri Jan 04 04:30:00 CET 2019 4
Sorgente1 Fri Jan 04 05:00:00 CET 2019 5
Sorgente1 Fri Jan 04 05:30:00 CET 2019 5
Sorgente1 Fri Jan 04 06:00:00 CET 2019 8
Sorgente1 Fri Jan 04 06:30:00 CET 2019 11
Sorgente1 Fri Jan 04 07:00:00 CET 2019 14
Sorgente1 Fri Jan 04 07:30:00 CET 2019 18
Sorgente1 Fri Jan 04 08:00:00 CET 2019 26
Sorgente1 Fri Jan 04 08:30:00 CET 2019 32
Sorgente1 Fri Jan 04 09:00:00 CET 2019 36
Sorgente1 Fri Jan 04 09:30:00 CET 2019 43
Sorgente1 Fri Jan 04 10:00:00 CET 2019 44
Sorgente1 Fri Jan 04 10:30:00 CET 2019 46
Sorgente1 Fri Jan 04 11:00:00 CET 2019 46
Sorgente1 Fri Jan 04 11:30:00 CET 2019 46
Sorgente1 Fri Jan 04 12:00:00 CET 2019 47
Sorgente1 Fri Jan 04 12:30:00 CET 2019 46
Sorgente1 Fri Jan 04 13:00:00 CET 2019 44
Sorgente1 Fri Jan 04 13:30:00 CET 2019 45
Sorgente1 Fri Jan 04 14:00:00 CET 2019 47
Sorgente1 Fri Jan 04 14:30:00 CET 2019 48
Sorgente1 Fri Jan 04 15:00:00 CET 2019 49
Sorgente1 Fri Jan 04 15:30:00 CET 2019 48
Sorgente1 Fri Jan 04 16:00:00 CET 2019 46
Sorgente1 Fri Jan 04 16:30:00 CET 2019 38
Sorgente1 Fri Jan 04 17:00:00 CET 2019 33
Sorgente1 Fri Jan 04 17:30:00 CET 2019 32
Sorgente1 Fri Jan 04 18:00:00 CET 2019 27
Sorgente1 Fri Jan 04 18:30:00 CET 2019 25
Sorgente1 Fri Jan 04 19:00:00 CET 2019 19
Sorgente1 Fri Jan 04 19:30:00 CET 2019 14
Sorgente1 Fri Jan 04 20:00:00 CET 2019 10
Sorgente1 Fri Jan 04 20:30:00 CET 2019 8
Sorgente1 Fri Jan 04 21:00:00 CET 2019 6
Sorgente1 Fri Jan 04 21:30:00 CET 2019 5
Sorgente1 Fri Jan 04 22:00:00 CET 2019 5
Sorgente1 Fri Jan 04 22:30:00 CET 2019 4
Sorgente1 Fri Jan 04 23:00:00 CET 2019 4
Sorgente1 Fri Jan 04 23:30:00 CET 2019 4
Sorgente1 Sat Jan 05 00:00:00 CET 2019 3
Sorgente1 Sat Jan 05 00:30:00 CET 2019 5
Sorgente1 Sat Jan 05 01:00:00 CET 2019 5
Sorgente1 Sat Jan 05 01:30:00 CET 2019 5
Sorgente1 Sat Jan 05 02:00:00 CET 2019 4
Sorgente1 Sat Jan 05 02:30:00 CET 2019 5
Sorgente1 Sat Jan 05 03:00:00 CET 2019 5
Sorgente1 Sat Jan 05 03:30:00 CET 2019 5
Sorgente1 Sat Jan 05 04:00:00 CET 2019 6
Sorgente1 Sat Jan 05 04:30:00 CET 2019 8
Sorgente1 Sat Jan 05 05:00:00 CET 2019 10
Sorgente1 Sat Jan 05 05:30:00 CET 2019 14
Sorgente1 Sat Jan 05 06:00:00 CET 2019 20
Sorgente1 Sat Jan 05 06:30:00 CET 2019 31
Sorgente1 Sat Jan 05 07:00:00 CET 2019 34
Sorgente1 Sat Jan 05 07:30:00 CET 2019 41
Sorgente1 Sat Jan 05 08:00:00 CET 2019 44
Sorgente1 Sat Jan 05 08:30:00 CET 2019 48
Sorgente1 Sat Jan 05 09:00:00 CET 2019 50
Sorgente1 Sat Jan 05 09:30:00 CET 2019 51
Sorgente1 Sat Jan 05 10:00:00 CET 2019 52
Sorgente1 Sat Jan 05 10:30:00 CET 2019 55
Sorgente1 Sat Jan 05 11:00:00 CET 2019 56
Sorgente1 Sat Jan 05 11:30:00 CET 2019 59
Sorgente1 Sat Jan 05 12:00:00 CET 2019 61
Sorgente1 Sat Jan 05 12:30:00 CET 2019 61
Sorgente1 Sat Jan 05 13:00:00 CET 2019 61
Sorgente1 Sat Jan 05 13:30:00 CET 2019 61
Sorgente1 Sat Jan 05 14:00:00 CET 2019 60
Sorgente1 Sat Jan 05 14:30:00 CET 2019 60
Sorgente1 Sat Jan 05 15:00:00 CET 2019 58
Sorgente1 Sat Jan 05 15:30:00 CET 2019 58
Sorgente1 Sat Jan 05 16:00:00 CET 2019 55
Sorgente1 Sat Jan 05 16:30:00 CET 2019 51
Sorgente1 Sat Jan 05 17:00:00 CET 2019 49
Sorgente1 Sat Jan 05 17:30:00 CET 2019 48
Sorgente1 Sat Jan 05 18:00:00 CET 2019 44
Sorgente1 Sat Jan 05 18:30:00 CET 2019 41
Sorgente1 Sat Jan 05 19:00:00 CET 2019 38
Sorgente1 Sat Jan 05 19:30:00 CET 2019 32
Sorgente1 Sat Jan 05 20:00:00 CET 2019 29
Sorgente1 Sat Jan 05 20:30:00 CET 2019 23
Sorgente1 Sat Jan 05 21:00:00 CET 2019 17
Sorgente1 Sat Jan 05 21:30:00 CET 2019 11
Sorgente1 Sat Jan 05 22:00:00 CET 2019 9
Sorgente1 Sat Jan 05 22:30:00 CET 2019 6
Sorgente1 Sat Jan 05 23:00:00 CET 2019 5
Sorgente1 Sat Jan 05 23:30:00 CET 2019 6
Sorgente1 Sun Jan 06 00:00:00 CET 2019 6
Sorgente1 Sun Jan 06 00:30:00 CET 2019 6
Sorgente1 Sun Jan 06 01:00:00 CET 2019 5
Sorgente1 Sun Jan 06 01:30:00 CET 2019 5
Sorgente1 Sun Jan 06 02:00:00 CET 2019 4
Sorgente1 Sun Jan 06 02:30:00 CET 2019 4
Sorgente1 Sun Jan 06 03:00:00 CET 2019 4
Sorgente1 Sun Jan 06 03:30:00 CET 2019 4
Sorgente1 Sun Jan 06 04:00:00 CET 2019 5
Sorgente1 Sun Jan 06 04:30:00 CET 2019 4
Sorgente1 Sun Jan 06 05:00:00 CET 2019 6
Sorgente1 Sun Jan 06 05:30:00 CET 2019 8
Sorgente1 Sun Jan 06 06:00:00 CET 2019 8
Sorgente1 Sun Jan 06 06:30:00 CET 2019 11
Sorgente1 Sun Jan 06 07:00:00 CET 2019 16
Sorgente1 Sun Jan 06 07:30:00 CET 2019 23
Sorgente1 Sun Jan 06 08:00:00 CET 2019 29
Sorgente1 Sun Jan 06 08:30:00 CET 2019 33
Sorgente1 Sun Jan 06 09:00:00 CET 2019 36
Sorgente1 Sun Jan 06 09:30:00 CET 2019 41
Sorgente1 Sun Jan 06 10:00:00 CET 2019 47
Sorgente1 Sun Jan 06 10:30:00 CET 2019 49
Sorgente1 Sun Jan 06 11:00:00 CET 2019 50
Sorgente1 Sun Jan 06 11:30:00 CET 2019 51
Sorgente1 Sun Jan 06 12:00:00 CET 2019 52
Sorgente1 Sun Jan 06 12:30:00 CET 2019 52
Sorgente1 Sun Jan 06 13:00:00 CET 2019 52
Sorgente1 Sun Jan 06 13:30:00 CET 2019 53
Sorgente1 Sun Jan 06 14:00:00 CET 2019 53
Sorgente1 Sun Jan 06 14:30:00 CET 2019 53
Sorgente1 Sun Jan 06 15:00:00 CET 2019 51
Sorgente1 Sun Jan 06 15:30:00 CET 2019 50
Sorgente1 Sun Jan 06 16:00:00 CET 2019 50
Sorgente1 Sun Jan 06 16:30:00 CET 2019 50
Sorgente1 Sun Jan 06 17:00:00 CET 2019 49
Sorgente1 Sun Jan 06 17:30:00 CET 2019 44
Sorgente1 Sun Jan 06 18:00:00 CET 2019 39
Sorgente1 Sun Jan 06 18:30:00 CET 2019 34
Sorgente1 Sun Jan 06 19:00:00 CET 2019 26
Sorgente1 Sun Jan 06 19:30:00 CET 2019 22
Sorgente1 Sun Jan 06 20:00:00 CET 2019 17
Sorgente1 Sun Jan 06 20:30:00 CET 2019 13
Sorgente1 Sun Jan 06 21:00:00 CET 2019 11
Sorgente1 Sun Jan 06 21:30:00 CET 2019 9
Sorgente1 Sun Jan 06 22:00:00 CET 2019 7
Sorgente1 Sun Jan 06 22:30:00 CET 2019 6
Sorgente1 Sun Jan 06 23:00:00 CET 2019 4
Sorgente1 Sun Jan 06 23:30:00 CET 2019 4
Sorgente1 Mon Jan 07 00:00:00 CET 2019 4
Sorgente1 Mon Jan 07 00:30:00 CET 2019 4
Sorgente1 Mon Jan 07 01:00:00 CET 2019 3
Sorgente1 Mon Jan 07 01:30:00 CET 2019 3
Sorgente1 Mon Jan 07 02:00:00 CET 2019 3
Sorgente1 Mon Jan 07 02:30:00 CET 2019 3
Sorgente1 Mon Jan 07 03:00:00 CET 2019 3
Sorgente1 Mon Jan 07 03:30:00 CET 2019 3
Sorgente1 Mon Jan 07 04:00:00 CET 2019 3
Sorgente1 Mon Jan 07 04:30:00 CET 2019 4
Sorgente1 Mon Jan 07 05:00:00 CET 2019 5
Sorgente1 Mon Jan 07 05:30:00 CET 2019 5
Sorgente1 Mon Jan 07 06:00:00 CET 2019 8
Sorgente1 Mon Jan 07 06:30:00 CET 2019 11
Sorgente1 Mon Jan 07 07:00:00 CET 2019 14
Sorgente1 Mon Jan 07 07:30:00 CET 2019 18
Sorgente1 Mon Jan 07 08:00:00 CET 2019 26
Sorgente1 Mon Jan 07 08:30:00 CET 2019 32
Sorgente1 Mon Jan 07 09:00:00 CET 2019 36
Sorgente1 Mon Jan 07 09:30:00 CET 2019 43
Sorgente1 Mon Jan 07 10:00:00 CET 2019 44
Sorgente1 Mon Jan 07 10:30:00 CET 2019 46
Sorgente1 Mon Jan 07 11:00:00 CET 2019 46
Sorgente1 Mon Jan 07 11:30:00 CET 2019 46
Sorgente1 Mon Jan 07 12:00:00 CET 2019 47
Sorgente1 Mon Jan 07 12:30:00 CET 2019 46
Sorgente1 Mon Jan 07 13:00:00 CET 2019 44
Sorgente1 Mon Jan 07 13:30:00 CET 2019 45
Sorgente1 Mon Jan 07 14:00:00 CET 2019 47
Sorgente1 Mon Jan 07 14:30:00 CET 2019 48
Sorgente1 Mon Jan 07 15:00:00 CET 2019 49
Sorgente1 Mon Jan 07 15:30:00 CET 2019 48
Sorgente1 Mon Jan 07 16:00:00 CET 2019 46
Sorgente1 Mon Jan 07 16:30:00 CET 2019 38
Sorgente1 Mon Jan 07 17:00:00 CET 2019 33
Sorgente1 Mon Jan 07 17:30:00 CET 2019 32
Sorgente1 Mon Jan 07 18:00:00 CET 2019 27
Sorgente1 Mon Jan 07 18:30:00 CET 2019 25
Sorgente1 Mon Jan 07 19:00:00 CET 2019 19
Sorgente1 Mon Jan 07 19:30:00 CET 2019 14
Sorgente1 Mon Jan 07 20:00:00 CET 2019 10
Sorgente1 Mon Jan 07 20:30:00 CET 2019 8
Sorgente1 Mon Jan 07 21:00:00 CET 2019 6
Sorgente1 Mon Jan 07 21:30:00 CET 2019 5
Sorgente1 Mon Jan 07 22:00:00 CET 2019 5
Sorgente1 Mon Jan 07 22:30:00 CET 2019 4
Sorgente1 Mon Jan 07 23:00:00 CET 2019 4
Sorgente1 Mon Jan 07 23:30:00 CET 2019 4
Sorgente1 Tue Jan 08 00:00:00 CET 2019 4
Sorgente1 Tue Jan 08 00:30:00 CET 2019 4
Sorgente1 Tue Jan 08 01:00:00 CET 2019 3
Sorgente1 Tue Jan 08 01:30:00 CET 2019 3
Sorgente1 Tue Jan 08 02:00:00 CET 2019 3
Sorgente1 Tue Jan 08 02:30:00 CET 2019 3
Sorgente1 Tue Jan 08 03:00:00 CET 2019 3
Sorgente1 Tue Jan 08 03:30:00 CET 2019 3
Sorgente1 Tue Jan 08 04:00:00 CET 2019 3
Sorgente1 Tue Jan 08 04:30:00 CET 2019 4
Sorgente1 Tue Jan 08 05:00:00 CET 2019 5
Sorgente1 Tue Jan 08 05:30:00 CET 2019 5
Sorgente1 Tue Jan 08 06:00:00 CET 2019 8
Sorgente1 Tue Jan 08 06:30:00 CET 2019 11
Sorgente1 Tue Jan 08 07:00:00 CET 2019 14
Sorgente1 Tue Jan 08 07:30:00 CET 2019 18
Sorgente1 Tue Jan 08 08:00:00 CET 2019 26
Sorgente1 Tue Jan 08 08:30:00 CET 2019 32
Sorgente1 Tue Jan 08 09:00:00 CET 2019 36
Sorgente1 Tue Jan 08 09:30:00 CET 2019 43
Sorgente1 Tue Jan 08 10:00:00 CET 2019 44
Sorgente1 Tue Jan 08 10:30:00 CET 2019 46
Sorgente1 Tue Jan 08 11:00:00 CET 2019 46
Sorgente1 Tue Jan 08 11:30:00 CET 2019 46
Sorgente1 Tue Jan 08 12:00:00 CET 2019 47
Sorgente1 Tue Jan 08 12:30:00 CET 2019 46
Sorgente1 Tue Jan 08 13:00:00 CET 2019 44
Sorgente1 Tue Jan 08 13:30:00 CET 2019 45
Sorgente1 Tue Jan 08 14:00:00 CET 2019 47
Sorgente1 Tue Jan 08 14:30:00 CET 2019 48
Sorgente1 Tue Jan 08 15:00:00 CET 2019 49
Sorgente1 Tue Jan 08 15:30:00 CET 2019 48
Sorgente1 Tue Jan 08 16:00:00 CET 2019 46
Sorgente1 Tue Jan 08 16:30:00 CET 2019 38
Sorgente1 Tue Jan 08 17:00:00 CET 2019 33
Sorgente1 Tue Jan 08 17:30:00 CET 2019 32
Sorgente1 Tue Jan 08 18:00:00 CET 2019 27
Sorgente1 Tue Jan 08 18:30:00 CET 2019 25
Sorgente1 Tue Jan 08 19:00:00 CET 2019 19
Sorgente1 Tue Jan 08 19:30:00 CET 2019 14
Sorgente1 Tue Jan 08 20:00:00 CET 2019 10
Sorgente1 Tue Jan 08 20:30:00 CET 2019 8
Sorgente1 Tue Jan 08 21:00:00 CET 2019 6
Sorgente1 Tue Jan 08 21:30:00 CET 2019 5
Sorgente1 Tue Jan 08 22:00:00 CET 2019 5
Sorgente1 Tue Jan 08 22:30:00 CET 2019 4
Sorgente1 Tue Jan 08 23:00:00 CET 2019 4
Sorgente1 Tue Jan 08 23:30:00 CET 2019 4
Sorgente1 Wed Jan 09 00:00:00 CET 2019 4
Sorgente1 Wed Jan 09 00:30:00 CET 2019 4
Sorgente1 Wed Jan 09 01:00:00 CET 2019 3
Sorgente1 Wed Jan 09 01:30:00 CET 2019 3
Sorgente1 Wed Jan 09 02:00:00 CET 2019 3
Sorgente1 Wed Jan 09 02:30:00 CET 2019 3
Sorgente1 Wed Jan 09 03:00:00 CET 2019 3
Sorgente1 Wed Jan 09 03:30:00 CET 2019 3
Sorgente1 Wed Jan 09 04:00:00 CET 2019 3
Sorgente1 Wed Jan 09 04:30:00 CET 2019 4
Sorgente1 Wed Jan 09 05:00:00 CET 2019 5
Sorgente1 Wed Jan 09 05:30:00 CET 2019 5
Sorgente1 Wed Jan 09 06:00:00 CET 2019 8
Sorgente1 Wed Jan 09 06:30:00 CET 2019 11
Sorgente1 Wed Jan 09 07:00:00 CET 2019 14
Sorgente1 Wed Jan 09 07:30:00 CET 2019 18
Sorgente1 Wed Jan 09 08:00:00 CET 2019 26
Sorgente1 Wed Jan 09 08:30:00 CET 2019 32
Sorgente1 Wed Jan 09 09:00:00 CET 2019 36
Sorgente1 Wed Jan 09 09:30:00 CET 2019 43
Sorgente1 Wed Jan 09 10:00:00 CET 2019 44
Sorgente1 Wed Jan 09 10:30:00 CET 2019 46
Sorgente1 Wed Jan 09 11:00:00 CET 2019 46
Sorgente1 Wed Jan 09 11:30:00 CET 2019 46
Sorgente1 Wed Jan 09 12:00:00 CET 2019 47
Sorgente1 Wed Jan 09 12:30:00 CET 2019 46
Sorgente1 Wed Jan 09 13:00:00 CET 2019 44
Sorgente1 Wed Jan 09 13:30:00 CET 2019 45
Sorgente1 Wed Jan 09 14:00:00 CET 2019 47
Sorgente1 Wed Jan 09 14:30:00 CET 2019 48
Sorgente1 Wed Jan 09 15:00:00 CET 2019 49
Sorgente1 Wed Jan 09 15:30:00 CET 2019 48
Sorgente1 Wed Jan 09 16:00:00 CET 2019 46
Sorgente1 Wed Jan 09 16:30:00 CET 2019 38
Sorgente1 Wed Jan 09 17:00:00 CET 2019 33
Sorgente1 Wed Jan 09 17:30:00 CET 2019 32
Sorgente1 Wed Jan 09 18:00:00 CET 2019 27
Sorgente1 Wed Jan 09 18:30:00 CET 2019 25
Sorgente1 Wed Jan 09 19:00:00 CET 2019 19
Sorgente1 Wed Jan 09 19:30:00 CET 2019 14
Sorgente1 Wed Jan 09 20:00:00 CET 2019 10
Sorgente1 Wed Jan 09 20:30:00 CET 2019 8
Sorgente1 Wed Jan 09 21:00:00 CET 2019 6
Sorgente1 Wed Jan 09 21:30:00 CET 2019 5
Sorgente1 Wed Jan 09 22:00:00 CET 2019 5
Sorgente1 Wed Jan 09 22:30:00 CET 2019 4
Sorgente1 Wed Jan 09 23:00:00 CET 2019 4
Sorgente1 Wed Jan 09 23:30:00 CET 2019 4
Sorgente1 Thu Jan 10 00:00:00 CET 2019 4
Sorgente1 Thu Jan 10 00:30:00 CET 2019 4
Sorgente1 Thu Jan 10 01:00:00 CET 2019 3
Sorgente1 Thu Jan 10 01:30:00 CET 2019 3
Sorgente1 Thu Jan 10 02:00:00 CET 2019 3
Sorgente1 Thu Jan 10 02:30:00 CET 2019 3
Sorgente1 Thu Jan 10 03:00:00 CET 2019 3
Sorgente1 Thu Jan 10 03:30:00 CET 2019 3
Sorgente1 Thu Jan 10 04:00:00 CET 2019 3
Sorgente1 Thu Jan 10 04:30:00 CET 2019 4
Sorgente1 Thu Jan 10 05:00:00 CET 2019 5
Sorgente1 Thu Jan 10 05:30:00 CET 2019 5
Sorgente1 Thu Jan 10 06:00:00 CET 2019 8
Sorgente1 Thu Jan 10 06:30:00 CET 2019 11
Sorgente1 Thu Jan 10 07:00:00 CET 2019 14
Sorgente1 Thu Jan 10 07:30:00 CET 2019 18
Sorgente1 Thu Jan 10 08:00:00 CET 2019 26
Sorgente1 Thu Jan 10 08:30:00 CET 2019 32
Sorgente1 Thu Jan 10 09:00:00 CET 2019 36
Sorgente1 Thu Jan 10 09:30:00 CET 2019 43
Sorgente1 Thu Jan 10 10:00:00 CET 2019 44
Sorgente1 Thu Jan 10 10:30:00 CET 2019 46
Sorgente1 Thu Jan 10 11:00:00 CET 2019 46
Sorgente1 Thu Jan 10 11:30:00 CET 2019 46
Sorgente1 Thu Jan 10 12:00:00 CET 2019 47
Sorgente1 Thu Jan 10 12:30:00 CET 2019 46
Sorgente1 Thu Jan 10 13:00:00 CET 2019 44
Sorgente1 Thu Jan 10 13:30:00 CET 2019 45
Sorgente1 Thu Jan 10 14:00:00 CET 2019 47
Sorgente1 Thu Jan 10 14:30:00 CET 2019 48
Sorgente1 Thu Jan 10 15:00:00 CET 2019 49
Sorgente1 Thu Jan 10 15:30:00 CET 2019 48
Sorgente1 Thu Jan 10 16:00:00 CET 2019 46
